"Label (Grouping)","Salt Lake County, Utah!!Estimate","Salt Lake County, Utah!!Margin of Error"
"Total:","173,681","±9,787"
"    Europe:","14,080","±2,397"
"        Northern Europe:","5,114","±1,407"
"            Ireland","129","±157"
"            United Kingdom (inc. Crown Dependencies):","3,664","±1,234"
"                United Kingdom, excluding England","1,935","±1,099"
"                England","1,729","±647"
"            Other Northern Europe","1,321","±811"
"        Western Europe:","2,061","±616"
"            France","292","±208"
"            Germany","1,341","±532"
"            Other Western Europe","428","±292"
"        Southern Europe:","726","±391"
"            Italy","373","±262"
"            Portugal","55","±91"
"            Other Southern Europe","298","±239"
"        Eastern Europe:","6,179","±1,948"
"            Poland","779","±855"
"            Russia","878","±677"
"            Other Eastern Europe","4,522","±1,603"
"        Europe, n.e.c.","0","±210"
"    Asia:","42,133","±4,837"
"        Eastern Asia:","12,152","±2,557"
"            China:","8,334","±2,305"
"                China, excluding Taiwan","7,149","±2,258"
"                Taiwan","1,185","±571"
"            Japan","561","±381"
"            Korea","2,822","±1,134"
"            Other Eastern Asia","435","±583"
"        South Central Asia:","10,232","±3,198"
"            India","6,491","±2,384"
"            Iran","820","±598"
"            Other South Central Asia","2,921","±2,062"
"        South Eastern Asia:","15,530","±4,101"
"            Philippines","3,240","±1,331"
"            Vietnam","4,284","±1,309"
"            Other South Eastern Asia","8,006","±4,014"
"        Western Asia:","3,870","±1,863"
"            Israel","363","±365"
"            Lebanon","0","±210"
"            Other Western Asia","3,507","±1,863"
"        Asia, n.e.c.","349","±334"
"    Africa:","6,784","±2,113"
"        Eastern Africa","2,017","±1,052"
"        Northern Africa","249","±321"
"        Western Africa","1,886","±980"
"        Middle and Southern Africa","972","±567"
"        Africa, n.e.c.","1,660","±1,800"
"    Oceania:","6,741","±1,897"
"        Australia and New Zealand Subregion","458","±339"
"        Oceania, n.e.c.","6,283","±1,842"
"    Americas:","103,943","±6,817"
"        Latin America:","101,227","±6,820"
"            Caribbean:","4,917","±3,111"
"                Cuba","2,758","±2,961"
"                Jamaica","379","±434"
"                Other Caribbean","1,780","±1,252"
"            Central America:","58,473","±7,126"
"                El Salvador","3,726","±2,004"
"                Mexico","49,290","±5,875"
"                Other Central America","5,457","±2,287"
"            South America:","37,837","±5,668"
"                Brazil","4,193","±1,739"
"                Colombia","10,075","±3,910"
"                Other South America","23,569","±4,213"
"        Northern America:","2,716","±1,155"
"            Canada","2,716","±1,155"
"            Other Northern America","0","±210"